,result,table,_start,_stop,_time,_value,_field,_measurement,device
0,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.396277+00:00,33.0,temperature,sensor_metrics,battery-01
1,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.409366+00:00,45.1,temperature,sensor_metrics,battery-01
2,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.413012+00:00,38.0,temperature,sensor_metrics,battery-01
3,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.417106+00:00,31.6,temperature,sensor_metrics,battery-01
4,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.420485+00:00,43.7,temperature,sensor_metrics,battery-01
5,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.422852+00:00,30.5,temperature,sensor_metrics,battery-01
6,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.424852+00:00,35.2,temperature,sensor_metrics,battery-01
7,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.426066+00:00,48.3,temperature,sensor_metrics,battery-01
8,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.428074+00:00,47.2,temperature,sensor_metrics,battery-01
9,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.430190+00:00,42.9,temperature,sensor_metrics,battery-01
10,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.431907+00:00,31.9,temperature,sensor_metrics,battery-01
11,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.434253+00:00,40.9,temperature,sensor_metrics,battery-01
12,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.436589+00:00,37.0,temperature,sensor_metrics,battery-01
13,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.438938+00:00,35.7,temperature,sensor_metrics,battery-01
14,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.441162+00:00,44.2,temperature,sensor_metrics,battery-01
15,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.442751+00:00,44.1,temperature,sensor_metrics,battery-01
16,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.444382+00:00,30.5,temperature,sensor_metrics,battery-01
17,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.445628+00:00,35.4,temperature,sensor_metrics,battery-01
18,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.446791+00:00,45.5,temperature,sensor_metrics,battery-01
19,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.447813+00:00,33.2,temperature,sensor_metrics,battery-01
20,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.449180+00:00,31.0,temperature,sensor_metrics,battery-01
21,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.450278+00:00,37.1,temperature,sensor_metrics,battery-01
22,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.452303+00:00,32.9,temperature,sensor_metrics,battery-01
23,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.454275+00:00,38.9,temperature,sensor_metrics,battery-01
24,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.456405+00:00,35.0,temperature,sensor_metrics,battery-01
25,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.458044+00:00,39.4,temperature,sensor_metrics,battery-01
26,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.459149+00:00,44.4,temperature,sensor_metrics,battery-01
27,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.460292+00:00,38.0,temperature,sensor_metrics,battery-01
28,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.461425+00:00,49.5,temperature,sensor_metrics,battery-01
29,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.462435+00:00,48.7,temperature,sensor_metrics,battery-01
30,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.463684+00:00,38.7,temperature,sensor_metrics,battery-01
31,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.464865+00:00,38.5,temperature,sensor_metrics,battery-01
32,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.466287+00:00,46.3,temperature,sensor_metrics,battery-01
33,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.469152+00:00,48.3,temperature,sensor_metrics,battery-01
34,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.472060+00:00,45.9,temperature,sensor_metrics,battery-01
35,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.474966+00:00,42.5,temperature,sensor_metrics,battery-01
36,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.477791+00:00,47.4,temperature,sensor_metrics,battery-01
37,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.479278+00:00,48.0,temperature,sensor_metrics,battery-01
38,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.480868+00:00,39.5,temperature,sensor_metrics,battery-01
39,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.482193+00:00,31.9,temperature,sensor_metrics,battery-01
40,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.483856+00:00,30.1,temperature,sensor_metrics,battery-01
41,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.488459+00:00,34.9,temperature,sensor_metrics,battery-01
